oficina,departamento,horario_atencion,dias_de_apertura,dias_de_cierre,direccion,indicativo,telefono,numero_telefonico_no_1,numero_telefonico_no_2,numero_telefonico_no_3,numero_telefonico_no_4,numero_telefonico_no_5,numero_telefonico_no_6,column14,column15,column16,column17
ARBELAEZ,CUNDINAMARCA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CALLE 8 NO.7-08/10,91,8686318 - 8680270 - 8686040 - 8686321,8686318,8680270,8686040,8686321,,,,,,
NATAGA,HUILA,DE 8:00 - 11:30 AM Y DE 2:00 P.M. A 4:30 P.M.      DE 8:00 A 2:00 P.M.,MARTES A VIERNES Y SÁBADO,DOMINGO Y LUNES,CALLE 2 NO. 5 - 77 / 83,98,8310061 - 8311063 - 3124571324 - 831 00 62,8310061,8311063,8310062,,,3124571324,,,,
GUASCA,CUNDINAMARCA,8:00 A.M..  - 3:00 P.M.,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 4 NO.3-35/45,91,8573723 - 8573144 - 8504338,8573723,8573144,8504338,,,,,,,
SAMANA,CALDAS,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CARRERA 6 NO. 8 - 35,96,8658558 - 8658020 - 8658278 - 8658279 - 8658030,8658558,8658020,8658278,8658279,8658030,,,,,
GUATICA,RISARALDA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 6 NO.9-15/17,96,3539272 - 3539160 - 3539420,3539272,3539160,3539420,,,,,,,
CASABIANCA,TOLIMA,DE 8:00 - 11:30 AM Y DE 2:00 P.M. A 4:30 P.M.      DE 8:00 A 2:00 P.M.,MARTES A VIERNES Y SÁBADO,DOMINGO Y LUNES,CALLE 3 NO.2-43 COSTADO  NORTE PARQUE PRINCIPAL,98,2548616 - 2548577 - 2548517 - Celu Fijo 3204985280,2548616,2548577,2548517,,,3204985280,,,,
OROCUE,CASANARE,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 4 NO. 9 - 19 B LA CANDELARIA,98,6598092 - 6598929 - 6598020 - 6365082 - 6365064,6598092,6598929,6598020,6365082,6365064,,,,,
VILLARRICA,TOLIMA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CALLE 4 NO.3-25 PALACIO MUNICIPAL,98,2475036 - 2475033 - 2475028 - 2475070 - Celu Fijo 3204985274,2475036,2475033,2475028,2475070,,3204985274,,,,
ANCUYA,NARIÑO,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CALLE 2 NO.3-59 PALACIO MUNICIPAL,92,7287579 - 7287582 - 7287580 - 7287584,7287579,7287582,7287580,7287584,,,,,,
EL DONCELLO,CAQUETÁ,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 4 NO 3 - 40 BARRIO CENTRO,98,4310097 - 4310318 - 4310116 - 4310098,4310097,4310318,4310116,4310098,,,,,,
LA HORMIGA,PUTUMAYO,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CRA. 6 NO.7-07  B/ LOS PINOS,98,4287074 - 4287073 - 4282627,4287074,4287073,4282627,,,,,,,
JAMBALO,CAUCA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,PARQUE PRINCIPAL,92,3107626658 - 8252627 - 8252706,3107626658,8252627,8252706,,,,,,,
TOGUI,BOYACÁ,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 3 NO. 3 - 19,98,7292099 -   729 21 19,7292099,7292119,,,,,,,,
SAN RAFAEL,ANTIOQUIA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CALLE 31 NO.29-22,94,8586696 - 8586564 - 8586369,8586696,8586564,8586369,,,,,,,
HERRAN,NORTE DE SANTANDER,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,AVENIDA 3 N° 3-14 SECTOR LOS BALCONES,97,5860033 - 5860012,5860033,5860012,,,,,,,,
LIBORINA,ANTIOQUIA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CALLE 8 NO.10-63,94,8561017 - 8561816 - 8561984,8561017,8561816,8561984,,,,,,,
HELICONIA,ANTIOQUIA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CARRERA 20 NO. 20-18,94,854 97 01  - 8549374 - 8549653,8549701,8549374,8549653,,,,,,,
UNE,CUNDINAMARCA,8:00 A.M..  - 3:00 P.M.,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA  3 NO 2-15,91,8488190 - 8488002 - 8488189,8488190,8488002,8488189,,,,,,,
TUTA,BOYACÁ,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 6 NO. 5-06  PARQUE PRINCIPAL,98,7351009 - 7351064,7351009,7351064,,,,,,,,
LA MESA,CUNDINAMARCA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CALLE 8 NO. 18 - 17,91,8472557 - 8471248 - 8471249 - 8472426 - 8472167,8472557,8471248,8471249,8472426,8472167,,,,,
BOGOTA - CAN,BOGOTÁ D.C,8:00 A.M. A 3:00 P.M.,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 44 NO 54 - 82,91,2213107 - 2220760,2213107,2220760,,,,,,,,
SAN JOSE DEL GUAVIARE,GUAVIARE,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 24 NO. 7 - 50,98,5840242 - 5849227 - 5840242 - 5840081 - 58400080,5840242,5849227,5840242,5840081,5840008,,,,,
RISARALDA,CALDAS,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CRA. 2 # 8-15,96,8557127 - 8557136 - 8557210,8557127,8557136,8557210,,,,,,,
GUEPSA,SANTANDER,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CRA. 5 N° 3-47,97,7583173 - 758 30 01,7583173,7583001,,,,,,,,
ALTAMIRA,HUILA,DE 8:00 - 11:30 AM Y DE 2:00 P.M. A 4:30 P.M.      DE 8:00 A 2:00 P.M.,MARTES A VIERNES Y SÁBADO,DOMINGO Y LUNES,CARRERA 4 NO.5-55,98,8302651 - 8302736 - 8302737,8302651,8302736,8302737,,,,,,,
LA UNION,SUCRE,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 14 NO. 10 - 15 AVENIDA NUÑEZ - BARRIO SANTO DOMINGO,95,919011 - 2919160 - 2919013 - 2919010,2919011,2919160,2919013,2919010,,,,,,
ARGELIA,CAUCA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CALLE 3 NO. 3-13/19/25 FRENTE AL PARQUE PRINCIPAL,92,8399037 - 8279140,8399037,8279140,,,,,,,,
GUACA,SANTANDER,DE 8:00 - 11:30 AM Y DE 2:00 P.M. A 4:30 P.M.      DE 8:00 A 2:00 P.M.,MARTES A VIERNES Y SÁBADO,DOMINGO Y LUNES,CALLE  4 N° 4-32 PARQUE CENTRAL,97,6632732 - 6632510,6632732,6632510,,,,,,,,
CONVENCION,NORTE DE SANTANDER,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 5 N° 6-42,97,278570 - 5630570 - 5634570 - 5630278 - 5630571,5630570,5635470,5630278,5630571,,,,,,
MITU,VAUPÉS,8:00 A.M..  - 3:00 P.M.,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 16 NO. 3-78 BARRIO CENTRO,98,5642212 - 5642056 - 5642135,5642212,5642056,5642135,,,,,,,
PUERTO LOPEZ,META,8:00 A.M..  - 3:00 P.M.,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 4 NO. 5-16/20 BARRIO ABEL REY,98,6450198 - 6450180 - 6452809,6450198,6450180,6452809,,,,,,,
ZIPAQUIRA,CUNDINAMARCA,8:00 A.M..  - 3:00 P.M.,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 8 NO.6- 29/35/41/47/51 LOCALES 4 Y 5,91,8524054 - 8510375 - 8510565 - 8512642 - 8514637,8524054,8510375,8510565,8512642,8514637,,,,,
GUAMAL,MAGDALENA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 5 NO. 5 - 27,95,4182064 - 4182038,4182064,4182038,,,,,,,,
ZETAQUIRA,BOYACÁ,DE 8:00 - 11:30 AM Y DE 2:00 P.M. A 4:30 P.M.      DE 8:00 A 2:00 P.M.,MARTES A VIERNES Y SÁBADO,DOMINGO Y LUNES,CALLE 12 NO. 9 - 65   CARRERA 3 NO.2-06 PARQUE PRINCIPAL,98,7320392 - 7320333 - 7320456 - 7344033 - 7344031,7320392,7320333,7320456,7344033,7344031,,,,,
TOTORO,CAUCA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CALLE 2 NO. 6A - 21  CALLE PRINCIPAL,92,8275123 - 8275018 - 8275050,8275123,8275018,8275050,,,,,,,
SASAIMA,CUNDINAMARCA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CARRERA 4 NO. 7-75,91,8468216 - 8468578 - 8468084 - 8462858 - 8468278,8468216,8468578,8468084,8462858,8468278,,,,,
FRONTINO,ANTIOQUIA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CRA.32 NO.28-61,94,8595174 - 8596490,8595174,8596490,,,,,,,,
SABANA DE TORRES,SANTANDER,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 13 N° 10-44,97,6293354 - 6293340,6293354,6293340,,,,,,,,
BELEN DE LOS ANDAQUIES,CAQUETÁ,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 4 NO. 4-42,98,4316180 - 4316203 - 4316190 - 4644076 - 4644077,4316180,4316203,4316190,4644076,4644077,,,,,
COLOMBIA,HUILA,DE 8:00 - 11:30 AM Y DE 2:00 P.M. A 4:30 P.M.      DE 8:00 A 2:00 P.M.,MARTES A VIERNES Y SÁBADO,DOMINGO Y LUNES,CRA. 3 NO 7 - 12      CARRERA 3 NO. 6 – 05 BARRIO UNICENTRO,98,8319552 - 8319553,8319552,8319553,,,,,,,,
SINCELEJO,SUCRE,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 23 Nº. 19-40 CENTRO,95,2810081 - 2810566 - 2810589 - 2810163 - 2810527,2810081,2810566,2810589,2810163,2810527,,,,,
PUERTO WILCHES,SANTANDER,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CRA. 2 N° 2 - 100 BARRIO EL CENTRO,97,6132144 - 6132140,6132144,6132140,,,,,,,,
RIO DE ORO,CESAR,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,PARQUE PRINCIPAL,97,5619064 - 5619446,5619064,5619446,,,,,,,,
CACOTA,NORTE DE SANTANDER,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CALLE 4 N° 2-76,97,5290012 - 5290011,5290012,5290011,,,,,,,,
PITALITO,HUILA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 6 NO. 5-17 PISOS 1 Y 2,98,8353899 - 8366712 - 836 67 23,8353899,8366712,8366723,,,,,,,
SOCORRO,SANTANDER,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CRA. 14 N° 15-16,97,7272323 - 7272301 - 7273834,7272323,7272301,7273834,,,,,,,
BARRANQUILLA PRADO,ATLÁNTICO,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 53 Nº.68 B-13,95,3568575 - 3684972 - 3684758 - 3600879 - 3734300,3568575,3684972,3684758,3600879,3734300,,,,,
SOPO,CUNDINAMARCA,8:00 A.M..  - 3:00 P.M.,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 2 NO. 2-05/09 PARQUE PRINCIPAL,91,8572498 - 8572171,8572498,8572171,,,,,,,,
CAICEDO,ANTIOQUIA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CALLE 5 NO.4-29 PARQUE PRINCIPAL,94,8572071 - 8572006 - 8572120 - 8572048,8572071,8572006,8572120,8572048,,,,,,
SALADOBLANCO,HUILA,DE 8:00 - 11:30 AM Y DE 2:00 P.M. A 4:30 P.M.      DE 8:00 A 2:00 P.M.,MARTES A VIERNES Y SÁBADO,DOMINGO Y LUNES,CALLE 2 NO 4 - 28,98,8323077 -  832 30 02,8323077,8323002,,,,,,,,
EL ZULIA,NORTE DE SANTANDER,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,AVENIDA 2 NO. 7 - 10 CENTRO,97,5789544 - 5789570,5789544,5789570,,,,,,,,
MAICAO,LA GUAJIRA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 12  Nº. 9-12/12/16/18,95,7250821 - 268580 - 7268247 - 7260434 - 7268635,7250821,7268580,7268247,7260434,7268635,,,,,
VILLAVICENCIO,META,7:00 A.M. A 12:30 P.M. Y DE 2:00 P.M. A 7:00 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA. 32 NO. 39 - 43,98,6722875 - 6626235 - 6722875 - 6626235 - 6621090,6722875,6626235,6722875,6626235,6621090,,,,,
ABREGO,NORTE DE SANTANDER,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 14 N° 5-60,97,5642424 - 5642592 - 5642094 - 5642628,5642424,5642592,5642094,5642628,,,,,,
RIOSUCIO,CHOCÓ,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,PALACIO MUNICIPAL - BARRIO CENTRO,94,6810013,6810013,,,,,,,,,
CALDONO,CAUCA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CALLE PRINCIPAL - BARRIO BOLIVAR,92,8473440 - 8473550 - 8473518,8473440,8473550,8473518,,,,,,,
PAZ DE ARIPORO,CASANARE,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 8 NO. 10-10 - CALLE 4 NO. 10-62,98,6374056 - 6373321 - 6373320 - 6374298,6374056,6373321,6373320,6374298,,,,,,
VELEZ,SANTANDER,DE 8:00 - 11:30 AM Y DE 2:00 P.M. A 4:30 P.M.      DE 8:00 A 2:00 P.M.,MARTES A VIERNES Y SÁBADO,DOMINGO Y LUNES,CRA. 4 NO.10-53,97,7564207 - 7564717 - 7564131 - 7565993 - 7564131,7564207,7564717,7564131,7565993,7564131,,,,,
TEORAMA,NORTE DE SANTANDER,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 4 NO.3-35,97,5637121 - 5637010 - 5637006,5637121,5637010,5637006,,,,,,,
PUERTO COLOMBIA,ATLÁNTICO,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 5 NO. 2 - 03,95,3095110 - 3096020,3095110,3096020,,,,,,,,
CODAZZI,CESAR,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE  17  Nº.  16-51,95,5765072 - 5765094 - 5765068 - 5765004 - 5765070,5765072,5765094,5765068,5765004,5765070,,,,,
BOLIVIA,CALDAS,8:00 A.M  - 2:00 PM,MIERCOLES A DOMINGO,LUNES Y MARTES,PLAZA PRINCIPAL - ESQUINA,96,8565168 - 8565140,8565168,8565140,,,,,,,,
SAN PABLO,NARIÑO,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CRA. 3 NO. 5-14 PRQUE BOLÍVAR,92,7286043 - 7285006,7286043,7285006,,,,,,,,
SUPATA,CUNDINAMARCA,8:00 A.M  - 2:00 PM,MIERCOLES A DOMINGO,LUNES Y MARTES,CARRERA 6 NO. 5-03  CENTRO,91,8479504 - 8479525,8479504,8479525,,,,,,,,
SAN JUAN DE ARAMA,META,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 9 NO.11-25,98,6536044 - 6536146,6536044,6536146,,,,,,,,
SANTA SOFIA,BOYACÁ,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 4 NO.3-07,98,7359170 - 7359011,7359170,7359011,,,,,,,,
DAGUA,VALLE DEL CAUCA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 10 NO.9-41/45,92,2451968 - 2450573,2451968,2450573,,,,,,,,
PAEZ BELALCAZAR,CAUCA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CRA. 2 NO. 1-11,92,8252452 -  825 24 38 -  - Celu Fijo 3204985272,8252452,8252438,,,,3204985272,,,,
NEIVA,HUILA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 7 NO. 6 - 27,98,8710226 - 8710102 - 8710222 - 8711571 - 8712450,8710226,8710102,8710222,8711571,8712450,,,,,
LA UNION,NARIÑO,DE 8:00 - 11:30 AM Y DE 2:00 P.M. A 4:30 P.M.      DE 8:00 A 2:00 P.M.,MARTES A VIERNES Y SÁBADO,DOMINGO Y LUNES,CALLE 18 NO.1-28,92,7264085 - 7264084 - 7265294 - 7265075 - 7265071,7264085,7264084,7265294,7265075,7265071,,,,,
LA SIERRA,CAUCA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CALLE PRINCIPAL EDIFICIO ALCALDÍA MUNICIPAL PRIMER PISO- BARRIO CENTRO,92,8255061 - 8255022,8255061,8255022,,,,,,,,
SAN VICENTE,ANTIOQUIA,8:00 AM A 2:00 P.M.,MIERCOLES A DOMINGO,LUNES Y MARTES,CRA.29 NO.29-26/81 PRIMER PISO PALACIO MUNICIPAL,94,8544170 - 8544342 - 8544781 - 8544090,8544170,8544342,8544781,8544090,,,,,,
TIBANA,BOYACÁ,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CRA. 5 CALLE 6 -45 (ESQUINA),98,7338073 - 7338044,7338073,7338044,,,,,,,,
GUADALUPE,HUILA,DE 8:00 - 11:30 AM Y DE 2:00 P.M. A 4:30 P.M.      DE 8:00 A 2:00 P.M.,MARTES A VIERNES Y SÁBADO,DOMINGO Y LUNES,CRA 6 NO 4 - 24,98,8321066 - 8321086 - 8321332,8321066,8321086,8321332,,,,,,,
SIBUNDOY,PUTUMAYO,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 18 NO.15-59,98,4260699 - 4260343 - 4260035 - 4260367,4260699,4260343,4260035,4260367,,,,,,
CHIA,CUNDINAMARCA,8:00 A.M..  - 3:00 P.M.,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 10 NO.8-13,91,8630391 - 8630338 - 8632638 - 8632639,8630391,8630338,8632638,8632639,,,,,,
TURMEQUE,BOYACÁ,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CRA.5 NO.3-63 PARQUE PRINCIPAL,98,7326097 -  732 60 85,7326097,7326085,,,,,,,,
GUAITARILLA,NARIÑO,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 2 NO. 5 -85,92,7433081 - 7433262,7433081,7433262,,,,,,,,
CHIRIGUANA,CESAR,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 8 NO.2-157,95,5760175 - 5761122 - 5760086,5760175,5761122,5760086,,,,,,,
TITIRIBI,ANTIOQUIA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CARRERA. 21 NO. 19-68 CARRERA SANTANDER.,94,8482938 - 8482298 - 8482118,8482938,8482298,8482118,,,,,,,
SAN CARLOS,ANTIOQUIA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CALLE 21 NO. 19-18/20/24,94,8357912 - 8358129 - 8358363 - 6557102,8357912,8358129,8358363,6557102,,,,,,
RAGONVALIA,NORTE DE SANTANDER,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CALLE 5 NO.2-44 BARRIO CENTRO,97,5869048 - 5869018,5869048,5869018,,,,,,,,
JARDIN,ANTIOQUIA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CALLE 9 CON CARRERA 3 ESQUINA - PARQUE PRINCIPAL,94,8456570 - 8456698 - 8455533,8456570,8456698,8455533,,,,,,,
VENTAQUEMADA,BOYACÁ,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 5 NO. 8 - 79,98,7366004 - 7366000 - 7366045,7366004,7366000,7366045,,,,,,,
CAJAMARCA,TOLIMA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 8 NO. 6-56 PARQUE PRINCIPAL,98,2870059 - 2870111 - 2870088 - 2870617,2870059,2870111,2870088,2870617,,,,,,
LA PALMA,CUNDINAMARCA,7.00 A.M. A 2:00 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 4 CON CARRERA 4 ESQUINA,91,8505157 - 8505157 - 8505307,8505157,8505157,8505307,,,,,,,
AGRADO,HUILA,DE 8:00 - 11:30 AM Y DE 2:00 P.M. A 4:30 P.M.      DE 8:00 A 2:00 P.M.,MARTES A VIERNES Y SÁBADO,DOMINGO Y LUNES,CARRERA 4 NO 5-16 PARQUE CENTRAL.,98,8322271 - 8322003,8322271,8322003,,,,,,,,
PUERTO RICO,CAQUETÁ,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 5 NO. 5-92-96 Y CARRERA 6 NO. 5-00-02-06-10 BARRIO LAS AMÉRICAS,98,4312420 - 4312530 - 4312360,4312420,4312530,4312360,,,,,,,
ANZA,ANTIOQUIA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CALLE 10 NO.10-24/28  PARQUE PRINCIPAL,94,8522066 - 8522073 - 8522203,8522066,8522073,8522203,,,,,,,
TIMANA,HUILA,DE 8:00 - 11:30 AM Y DE 2:00 P.M. A 4:30 P.M.      DE 8:00 A 2:00 P.M.,MARTES A VIERNES Y SÁBADO,DOMINGO Y LUNES,CARRERA 4 NO. 9-42 EDIFICIO DEL CAFÉ,98,8374171 - 8374247 - 8374574 - 8374171 - 8374170,8374171,8374247,8374574,8374171,8374170,,,,,
ARMENIA,QUINDIO,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 13 NO.17/47/59 CENTRO COMERCIAL LA 13,96,417071 - 7417044 - 7417022 - 7417076 - 7417074,7417071,7417044,7417022,7417076,7417074,,,,,
GUAYATA,BOYACÁ,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 4 NO. 4 - 02,98,7535028 - 7535142,7535028,7535142,,,,,,,,
NUNCHIA,CASANARE,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 6 NO. 6 - 22 - BARRIO CENTRO,98,6352016 - 6352031,6352016,6352031,,,,,,,,
GUACHUCAL,NARIÑO,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 8 NO. 5-37 BARRIO LIBERTAD A UNA CUADRA DEL PARQUE,92,7778041 - 7778382 -  7778009,7778041,7778382,7778009,,,,,,,
SAN JUAN DEL CESAR,LA GUAJIRA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE  5  Nº.  2-24/38,95,7740250 - 7740249 - 7740162,7740250,7740249,7740162,,,,,,,
SANTA ROSA DE VITERBO,BOYACÁ,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 3 NO. 4 - 22    CALLE 9 NO. 4-42 PLAZA PRINCIPAL,98,7860361 - 7860332 - 7860077 - 7860165 - 786 01 85,7860361,7860332,7860077,7860165,7860185,,,,,
RAMIRIQUI,BOYACÁ,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 7 NO. 5-55/57 PARQUE PRINCIPAL,98,7327422 - 7327309 - 7327309 - 7327556 -  732 71 57,7327422,7327309,7327309,7327556,7327157,,,,,
EL PAUJIL,CAQUETÁ,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 5 NO 5 - 35 BARRIO CENTRO,98,4314180 - 4314070,4314180,4314070,,,,,,,,
SUAREZ,TOLIMA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 3 NO. 7 - 70,98,2883182 - 2883075,2883182,2883075,,,,,,,,
CIRCASIA,QUINDIO,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 6 NO.13-60,96,584189 - 758248 - 7584582,7584189,7584582,,,,,,,,
SAN LUIS,ANTIOQUIA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CRA. REAL NRO. 20-07,94,8348127,8348127,,,,,,,,,
VENECIA,CUNDINAMARCA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CARRERA 1 NO. 3-45,91,8681050 - 8681062,8681050,8681062,,,,,,,,
ALVARADO,TOLIMA,DE 8:00 - 11:30 AM Y DE 2:00 P.M. A 4:30 P.M.      DE 8:00 A 2:00 P.M.,MARTES A VIERNES Y SÁBADO,DOMINGO Y LUNES,CALLE 3 NO 3-18/22/24 BARRIO CENTRO,98,2820517 - 2820217 - 2820127 - 2820519,2820517,2820217,2820127,2820519,,,,,,
